game_id	home_team_id	away_team_id	date	neutral_site	game_link
byu-boise-st	0	77	11/03/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/03/byu-boise-st#boxscore
clemson-boston-college	0	147	11/10/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/10/clemson-boston-college#boxscore
louisiana-tech-south-alabama	646	0	09/01/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/01/louisiana-tech-south-alabama#boxscore
northern-ill-iowa	0	503	09/01/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/01/northern-ill-iowa#boxscore
ucf-uconn	164	0	08/30/2018	0	http://www.ncaa.com/game/football/fbs/2018/08/30/ucf-uconn#boxscore
oregon-st-nevada	466	0	09/15/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/15/oregon-st-nevada#boxscore
chattanooga-south-carolina	648	0	11/17/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/17/chattanooga-south-carolina#boxscore
idaho-fresno-st	96	0	09/01/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/01/idaho-fresno-st#boxscore
southern-miss-north-texas	497	0	10/13/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/13/southern-miss-north-texas#boxscore
troy-nebraska	463	0	09/15/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/15/troy-nebraska#boxscore
washington-st-wyoming	811	0	09/01/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/01/washington-st-wyoming#boxscore
louisiana-tech-mississippi-st	430	0	11/03/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/03/louisiana-tech-mississippi-st#boxscore
wake-forest-florida-st	234	0	10/20/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/20/wake-forest-florida-st#boxscore
toledo-western-mich	774	0	10/25/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/25/toledo-western-mich#boxscore
western-ky-louisiana-tech	0	772	11/24/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/24/western-ky-louisiana-tech#boxscore
ohio-cincinnati	140	0	09/22/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/22/ohio-cincinnati#boxscore
appalachian-st-ga-southern	253	0	10/25/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/25/appalachian-st-ga-southern#boxscore
tennessee-tech-utah-st	731	0	09/13/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/13/tennessee-tech-utah-st#boxscore
